"","sp","taxo","group_kernels","group_detection","group_atlas"
"376","Sharp-shinned Hawk",2812,"raptors","",""
"377","Cooper's Hawk",2821,"raptors","",""
"378","Sharp-shinned/Cooper's Hawk",2822,"raptors","",""
"379","Northern Goshawk",2827.2,"raptors","",""
"380","Northern Goshawk",2829,"raptors","",""
"381","Cooper's Hawk/Northern Goshawk",2830.5,"raptors","",""
"382","Accipiter sp.",2832,"raptors","",""
"383","Bald Eagle",2881,"raptors","",""
"384","Golden/Bald Eagle",2883.3,"raptors","",""
"385","Harris's Hawk",2934,"raptors","",""
"386","Red-shouldered Hawk",2959,"raptors","",""
"387","Red-shouldered Hawk",2959.2,"raptors","",""
"388","Broad-winged Hawk",2966,"raptors","",""
"389","Broad-winged Hawk",2967,"raptors","",""
"390","Red-shouldered/Broad-winged Hawk",2973.5,"raptors","",""
"391","Swainson's Hawk",2984,"raptors","",""
"392","Zone-tailed Hawk",2986,"raptors","",""
"393","Red-tailed Hawk",2989,"raptors","",""
"394","Red-tailed Hawk",2990,"raptors","",""
"395","Red-tailed Hawk",2992,"raptors","",""
"396","Red-tailed Hawk",2993,"raptors","",""
"397","Red-tailed Hawk",2994,"raptors","",""
"398","Red-tailed Hawk",2995,"raptors","",""
"399","Rough-legged Hawk",3007,"raptors","",""
"400","Ferruginous Hawk",3010,"raptors","",""
"401","Buteo sp.",3038,"raptors","",""
"402","Buteo/eagle sp.",3040,"raptors","",""
"403","hawk sp.",3041,"raptors","",""
"404","eagle sp.",3042,"raptors","",""
"405","Yellow Rail",3257,"shorebirds_waders","",""
"406","Yellow Rail",3258,"shorebirds_waders","",""
"407","Black Rail",3299,"shorebirds_waders","",""
"408","Corn Crake",3367,"shorebirds_waders","",""
"409","King Rail",3394.5,"shorebirds_waders","",""
"410","King Rail",3394.6,"shorebirds_waders","",""
"411","Clapper Rail",3395,"shorebirds_waders","",""
"412","King/Clapper Rail",3399,"shorebirds_waders","",""
"413","Virginia Rail",3401,"shorebirds_waders","",""
"414","Virginia Rail",3401.5,"shorebirds_waders","",""
"415","Rallus sp.",3417,"shorebirds_waders","",""
